id,id_powiatu,nazwa
731,107,gm. Wróblew
732,107,gm. Złoczew
733,107,m. Sieradz
734,108,Skierniewice
735,109,gm. Bolimów
736,109,gm. Głuchów
737,109,gm. Godzianów
738,109,gm. Kowiesy
739,109,gm. Lipce Reymontowskie
740,109,gm. Maków
741,109,gm. Nowy Kawęczyn
742,109,gm. Skierniewice
743,109,gm. Słupia
744,110,gm. Będków
745,110,gm. Budziszewice
746,110,gm. Czerniewice
747,110,gm. Inowłódz
748,110,gm. Lubochnia
749,110,gm. Rokiciny
750,110,gm. Rzeczyca
751,110,gm. Tomaszów Mazowiecki
752,110,gm. Ujazd
753,110,gm. Żelechlinek
754,110,m. Tomaszów Mazowiecki
755,111,gm. Biała
756,111,gm. Czarnożyły
757,111,gm. Konopnica
758,111,gm. Mokrsko
759,111,gm. Osjaków
760,111,gm. Ostrówek
761,111,gm. Pątnów
762,111,gm. Skomlin
763,111,gm. Wieluń
764,111,gm. Wierzchlas
765,112,gm. Bolesławiec
766,112,gm. Czastary
767,112,gm. Galewice
768,112,gm. Lututów
769,112,gm. Łubnice
770,112,gm. Sokolniki
771,112,gm. Wieruszów
772,113,gm. Szadek
773,113,gm. Zapolice
774,113,gm. Zduńska Wola
775,113,m. Zduńska Wola
776,114,gm. Aleksandrów Łódzki
777,114,gm. Głowno
778,114,gm. Ozorków
779,114,gm. Parzęczew
780,114,gm. Stryków
781,114,gm. Zgierz
782,114,m. Głowno
783,114,m. Ozorków
784,114,m. Zgierz
785,115,gm. Bochnia
786,115,gm. Drwinia
787,115,gm. Lipnica Murowana
788,115,gm. Łapanów
789,115,gm. Nowy Wiśnicz
790,115,gm. Rzezawa
791,115,gm. Trzciana
792,115,gm. Żegocina
793,115,m. Bochnia
794,116,gm. Borzęcin
795,116,gm. Brzesko
796,116,gm. Czchów
797,116,gm. Dębno
798,116,gm. Gnojnik
799,116,gm. Iwkowa
800,116,gm. Szczurowa
801,117,gm. Alwernia
802,117,gm. Babice
803,117,gm. Chrzanów
804,117,gm. Libiąż
805,117,gm. Trzebinia
806,118,gm. Bolesław
807,118,gm. Dąbrowa Tarnowska
808,118,gm. Gręboszów
809,118,gm. Mędrzechów
810,118,gm. Olesno
811,118,gm. Radgoszcz
812,118,gm. Szczucin
813,119,gm. Biecz
814,119,gm. Bobowa
815,119,gm. Gorlice
816,119,gm. Lipinki
817,119,gm. Łużna
818,119,gm. Moszczenica
819,119,gm. Ropa
820,119,gm. Sękowa
821,119,gm. Uście Gorlickie
822,119,m. Gorlice
823,120,gm. Czernichów
824,120,gm. Igołomia-Wawrzeńczyce
825,120,gm. Iwanowice
826,120,gm. Jerzmanowice-Przeginia
827,120,gm. Kocmyrzów-Luborzyca
828,120,gm. Krzeszowice
829,120,gm. Liszki
830,120,gm. Michałowice
831,120,gm. Mogilany
832,120,gm. Skała
833,120,gm. Skawina
834,120,gm. Słomniki
835,120,gm. Sułoszowa
836,120,gm. Świątniki Górne
837,120,gm. Wielka Wieś
838,120,gm. Zabierzów
839,120,gm. Zielonki
840,121,Kraków
841,122,gm. Dobra
842,122,gm. Jodłownik
843,122,gm. Kamienica
844,122,gm. Laskowa
845,122,gm. Limanowa
846,122,gm. Łukowica
847,122,gm. Mszana Dolna
848,122,gm. Niedźwiedź
849,122,gm. Słopnice
850,122,gm. Tymbark
851,122,m. Limanowa
852,122,m. Mszana Dolna
853,123,gm. Charsznica
854,123,gm. Gołcza
