id,id_powiatu,nazwa
696,103,Piotrków Trybunalski
697,104,gm. Dalików
698,104,gm. Pêczniew
699,104,gm. Poddêbice
700,104,gm. Uniejów
701,104,gm. Wartkowice
702,104,gm. Zadzim
703,105,gm. Dobryszyce
704,105,gm. Gidle
705,105,gm. Gomunice
706,105,gm. Kamieñsk
707,105,gm. Kobiele Wielkie
708,105,gm. Kodr¹b
709,105,gm. Lgota Wielka
710,105,gm. £adzice
711,105,gm. Mas³owice
712,105,gm. Przedbórz
713,105,gm. Radomsko
714,105,gm. Wielgom³yny
715,105,gm. ¯ytno
716,105,m. Radomsko
717,106,gm. Bia³a Rawska
718,106,gm. Ciel¹dz
719,106,gm. Rawa Mazowiecka
720,106,gm. Regnów
721,106,gm. Sadkowice
722,106,m. Rawa Mazowiecka
723,107,gm. B³aszki
724,107,gm. Br¹szewice
725,107,gm. BrzeŸnio
726,107,gm. Burzenin
727,107,gm. Goszczanów
728,107,gm. Klonowa
729,107,gm. Sieradz
730,107,gm. Warta
731,107,gm. Wróblew
732,107,gm. Z³oczew
733,107,m. Sieradz
734,108,Skierniewice
735,109,gm. Bolimów
736,109,gm. G³uchów
737,109,gm. Godzianów
738,109,gm. Kowiesy
739,109,gm. Lipce Reymontowskie
740,109,gm. Maków
741,109,gm. Nowy Kawêczyn
742,109,gm. Skierniewice
743,109,gm. S³upia
744,110,gm. Bêdków
745,110,gm. Budziszewice
746,110,gm. Czerniewice
747,110,gm. Inow³ódz
748,110,gm. Lubochnia
749,110,gm. Rokiciny
750,110,gm. Rzeczyca
751,110,gm. Tomaszów Mazowiecki
752,110,gm. Ujazd
753,110,gm. ¯elechlinek
754,110,m. Tomaszów Mazowiecki
755,111,gm. Bia³a
756,111,gm. Czarno¿y³y
757,111,gm. Konopnica
758,111,gm. Mokrsko
759,111,gm. Osjaków
760,111,gm. Ostrówek
761,111,gm. P¹tnów
762,111,gm. Skomlin
763,111,gm. Wieluñ
764,111,gm. Wierzchlas
765,112,gm. Boles³awiec
766,112,gm. Czastary
767,112,gm. Galewice
768,112,gm. Lututów
769,112,gm. £ubnice
770,112,gm. Sokolniki
771,112,gm. Wieruszów
772,113,gm. Szadek
773,113,gm. Zapolice
774,113,gm. Zduñska Wola
775,113,m. Zduñska Wola
776,114,gm. Aleksandrów £ódzki
777,114,gm. G³owno
778,114,gm. Ozorków
779,114,gm. Parzêczew
780,114,gm. Stryków
781,114,gm. Zgierz
782,114,m. G³owno
783,114,m. Ozorków
784,114,m. Zgierz
785,115,gm. Bochnia
786,115,gm. Drwinia
787,115,gm. Lipnica Murowana
788,115,gm. £apanów
789,115,gm. Nowy Wiœnicz
790,115,gm. Rzezawa
791,115,gm. Trzciana
792,115,gm. ¯egocina
793,115,m. Bochnia
794,116,gm. Borzêcin
795,116,gm. Brzesko
796,116,gm. Czchów
797,116,gm. Dêbno
798,116,gm. Gnojnik
799,116,gm. Iwkowa
800,116,gm. Szczurowa
801,117,gm. Alwernia
802,117,gm. Babice
803,117,gm. Chrzanów
804,117,gm. Libi¹¿
805,117,gm. Trzebinia
806,118,gm. Boles³aw
807,118,gm. D¹browa Tarnowska
808,118,gm. Grêboszów
809,118,gm. Mêdrzechów
810,118,gm. Olesno
811,118,gm. Radgoszcz
812,118,gm. Szczucin
813,119,gm. Biecz
814,119,gm. Bobowa
815,119,gm. Gorlice
816,119,gm. Lipinki
817,119,gm. £u¿na
818,119,gm. Moszczenica
819,119,gm. Ropa
820,119,gm. Sêkowa
821,119,gm. Uœcie Gorlickie
822,119,m. Gorlice
823,120,gm. Czernichów
824,120,gm. Igo³omia-Wawrzeñczyce
825,120,gm. Iwanowice
826,120,gm. Jerzmanowice-Przeginia
827,120,gm. Kocmyrzów-Luborzyca
828,120,gm. Krzeszowice
829,120,gm. Liszki
830,120,gm. Micha³owice
831,120,gm. Mogilany
832,120,gm. Ska³a
833,120,gm. Skawina
834,120,gm. S³omniki
835,120,gm. Su³oszowa
836,120,gm. Œwi¹tniki Górne
837,120,gm. Wielka Wieœ
838,120,gm. Zabierzów
839,120,gm. Zielonki
840,121,Kraków
841,122,gm. Dobra
842,122,gm. Jod³ownik
843,122,gm. Kamienica
844,122,gm. Laskowa
845,122,gm. Limanowa
846,122,gm. £ukowica
847,122,gm. Mszana Dolna
848,122,gm. NiedŸwiedŸ
849,122,gm. S³opnice
850,122,gm. Tymbark
851,122,m. Limanowa
852,122,m. Mszana Dolna
853,123,gm. Charsznica
854,123,gm. Go³cza
855,123,gm. Koz³ów
856,123,gm. Ksi¹¿ Wielki
857,123,gm. Miechów
858,123,gm. Rac³awice
859,123,gm. S³aboszów
860,124,gm. Dobczyce
861,124,gm. Lubieñ
